,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Ref,Qnty,Value,Cmp name,Footprint
"R14, R16, ",2,47k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R15, R17, ",2,120,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R18, ",1,470,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R19, ",1,330,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R20, ",1,10,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R21, ",1,1k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R34, R35, ",2,2.2k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R36, ",1,680,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R39, ",1,9.1k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"R40, ",1,1.25k,R_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
,,,,
"RV1, ",1,10k,R_Potentiometer_US,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical
,,,,
"RV2, ",1,100k,R_Potentiometer_US,Potentiometer_SMD:Potentiometer_Bourns_TC33X_Vertical
,,,,
"U1, ",1,TS3480CX33RFG,TS3480CX33RFG,Package_TO_SOT_SMD:SOT-23
,,,,
"U2, ",1,MC33269,MC33269,Package_SO:SO-8_3.9x4.9mm_P1.27mm
,,,,
"U3, ",1,LM3478,LM3478,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
,,,,
"U4, ",1,PCM1804,PCM1804,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm
,,,,
"U5, U8, ",2,OPA1656,TL072,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
,,,,
"U6, ",1,LM386,LM386,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
,,,,
"U7, ",1,74LVT04,74HC04,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm
,,,,
"Y1, ",1,7V-22.5792MAHV-T,Crystal,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm
